
Iteration; Rate; AvgRate; TotalNumberOfActions 
1;0.38;0,3809191;0
2;30.23;15,30296;0
3;60.00;30,20199;0
4;10.01;25,15294;0
5;60.00;32,12237;0
6;60.00;36,76865;0
7;60.00;40,08742;0
8;60.00;42,5765;0
9;60.00;44,51245;0
10;60.00;46,06121;0
11;60.00;47,32838;0
12;60.00;48,38435;0
13;60.00;49,27787;0
14;60.00;50,04374;0
15;60.00;50,70749;0
16;60.00;51,28827;0
17;60.00;51,80073;0
18;60.00;52,25625;0
19;60.00;52,66382;0
20;60.00;53,03063;0
21;60.00;53,36251;0
22;60.00;53,66422;0
23;60.00;53,93969;11
24;60.00;54,1922;11
25;60.00;54,42452;11
26;60.00;54,63896;11
27;60.00;54,83752;11
28;60.00;55,0219;11
29;60.00;55,19356;11
30;60.00;55,35378;11
31;60.00;55,50365;11
32;60.00;55,64417;11
33;60.00;55,77617;11
34;60.00;55,9004;11
35;60.00;56,01753;11
36;60.00;56,12816;11
37;60.00;56,2328;11
38;60.00;56,33194;11
39;60.00;56,42599;11
40;60.00;56,51535;11
41;60.00;56,60034;11
42;60.00;56,68128;11
43;60.00;56,75846;11
44;60.00;56,83213;11
45;60.00;56,90253;11
46;60.00;56,96987;11
47;60.00;57,03434;11
48;60.00;57,09613;10
49;60.00;57,15539;9
50;60.00;57,21228;8
51;60.00;57,26694;7
52;60.00;57,3195;6
53;60.00;57,37008;6
54;60.00;57,41878;6
55;60.00;57,46571;6
56;60.00;57,51097;6
57;60.00;57,55464;6
58;60.00;57,5968;6
59;60.00;57,63754;6
60;60.00;57,67691;6
61;60.00;57,715;6
62;60.00;57,75185;6
63;60.00;57,78754;6
64;60.00;57,82211;6
65;60.00;57,85562;6
66;60.00;57,88811;6
67;60.00;57,91963;6
68;60.00;57,95022;6
69;60.00;57,97993;6
70;60.00;58,00879;6
71;60.00;58,03683;6
72;60.00;58,0641;6
73;60.00;58,09062;5
74;60.00;58,11642;4
75;60.00;58,14154;3
76;60.00;58,166;2
77;60.00;58,18982;1
78;60.00;58,21302;1
79;60.00;58,23565;1
80;60.00;58,2577;1
81;60.00;58,27921;1
82;60.00;58,3002;11
83;60.00;58,32068;11
84;60.00;58,34067;11
85;60.00;58,3602;11
86;60.00;58,37926;11
87;60.00;58,3979;11
88;60.00;58,4161;11
89;60.00;58,4339;11
90;60.00;58,4513;11
91;60.00;58,46832;11
92;60.00;58,48497;11
93;60.00;58,50127;11
94;60.00;58,51721;11
