
Iteration; Rate; AvgRate
1;0.38;0,3798614;
2;30.24;15,31226;
3;60.00;30,20819;
4;15.01;26,40752;
5;60.00;33,12603;
6;59.90;37,58802;
7;60.00;40,78974;
8;60.00;43,19103;
9;60.00;45,0587;
10;60.00;46,55284;
11;60.00;47,77531;
12;60.00;48,79404;
13;60.00;49,65604;
14;60.00;50,3949;
15;60.00;51,03524;
16;60.00;51,59554;
17;60.00;52,08993;
18;60.00;52,52938;
19;60.00;52,92257;
20;60.00;53,27645;
21;60.00;53,59662;
22;60.00;53,88768;
23;60.00;54,15344;
24;60.00;54,39705;
25;60.00;54,62117;
26;60.00;54,82805;
27;60.00;55,0196;
28;60.00;55,19748;
29;60.00;55,36308;
30;60.00;55,51765;
31;60.00;55,66224;
32;60.00;55,79779;
33;60.00;55,92514;
34;60.00;56,04499;
35;60.00;56,15799;
36;60.00;56,26471;
37;60.00;56,36567;
38;60.00;56,46131;
39;60.00;56,55205;
40;60.00;56,63825;
41;60.00;56,72025;
42;60.00;56,79834;
43;60.00;56,8728;
44;60.00;56,94387;
45;60.00;57,01179;
46;60.00;57,07675;
47;60.00;57,13895;
48;60.00;57,19855;
49;60.00;57,25573;
50;60.00;57,31062;
51;60.00;57,36335;
52;60.00;57,41405;
53;60.00;57,46285;
54;60.00;57,50983;
55;60.00;57,55511;
56;60.00;57,59877;
57;60.00;57,6409;
58;60.00;57,68158;
59;60.00;57,72087;
60;60.00;57,75886;
61;60.00;57,7956;
62;60.00;57,83115;
63;60.00;57,86558;
64;60.00;57,89893;
65;60.00;57,93126;
66;60.00;57,9626;
67;60.00;57,99302;
68;60.00;58,02253;
69;60.00;58,05119;
70;60.00;58,07903;
71;60.00;58,10609;
72;60.00;58,13239;
73;60.00;58,15798;
74;60.00;58,18287;
75;60.00;58,2071;
76;60.00;58,23069;
77;60.00;58,25367;
78;60.00;58,27606;
79;60.00;58,29789;
80;60.00;58,31916;
81;60.00;58,33992;
82;60.00;58,36016;
83;60.00;58,37992;
84;60.00;58,3992;
85;60.00;58,41804;
86;60.00;58,43643;
87;60.00;58,4544;
88;60.00;58,47197;
89;60.00;58,48914;
90;60.00;58,50592;
91;60.00;58,52234;
92;60.00;58,53841;
93;60.00;58,55412;
94;60.00;58,5695;
95;60.00;58,58456;
96;60.00;58,5993;
97;60.00;58,61375;
98;60.00;58,62789;
99;60.00;58,64175;
100;60.00;58,65533;
101;60.00;58,66865;
102;60.00;58,6817;
103;60.00;58,6945;
104;60.00;58,70705;
105;60.00;58,71937;
106;60.00;58,73145;
107;60.00;58,74331;
108;60.00;58,75494;
109;60.00;58,76636;
110;60.00;58,77758;
111;60.00;58,78859;
112;60.00;58,79941;
113;60.00;58,81003;
114;60.00;58,82047;
115;60.00;58,83073;
116;60.00;58,84081;
117;60.00;58,85072;
118;60.00;58,86045;
119;60.00;58,87003;
120;60.00;58,87945;
121;60.00;58,88871;
122;60.00;58,89782;
123;60.00;58,90678;
124;60.00;58,9156;
125;60.00;58,92427;
126;60.00;58,93281;
127;60.00;58,94121;
128;60.00;58,94949;
129;60.00;58,95763;
130;60.00;58,96565;
131;60.00;58,97355;
132;60.00;58,98132;
133;60.00;58,98898;
134;60.00;58,99653;
135;60.00;59,00396;
136;60.00;59,01129;
137;60.00;59,01851;
138;60.00;59,02562;
139;60.00;59,03263;
140;60.00;59,03954;
141;60.00;59,04635;
142;60.00;59,05307;
143;60.00;59,05969;
144;60.00;59,06622;
145;60.00;59,07266;
146;60.00;59,07901;
147;60.00;59,08528;
148;60.00;59,09146;
149;60.00;59,09756;
150;60.00;59,10357;
151;60.00;59,10951;
152;60.00;59,11537;
153;60.00;59,12115;
154;60.00;59,12686;
155;60.00;59,13249;
156;60.00;59,13805;
157;60.00;59,14354;
158;60.00;59,14896;
159;60.00;59,15432;
160;60.00;59,1596;
161;60.00;59,16482;
162;60.00;59,16998;
163;60.00;59,17507;
164;60.00;59,1801;
165;60.00;59,18507;
166;60.00;59,18998;
167;60.00;59,19484;
168;60.00;59,19963;
169;60.00;59,20436;
170;60.00;59,20905;
171;60.00;59,21367;
172;60.00;59,21825;
173;60.00;59,22277;
174;60.00;59,22723;
175;60.00;59,23165;
176;60.00;59,23602;
177;60.00;59,24034;
178;60.00;59,24461;
179;60.00;59,24883;
180;60.00;59,253;
181;60.00;59,25713;
182;60.00;59,26121;
183;60.00;59,26524;
184;60.00;59,26924;
185;60.00;59,27319;
186;60.00;59,2771;
187;60.00;59,28096;
188;60.00;59,28479;
189;60.00;59,28857;
190;60.00;59,29232;
191;60.00;59,29602;
192;60.00;59,29969;
193;60.00;59,30331;
194;60.00;59,3069;
195;60.00;59,31046;
196;60.00;59,31398;
197;60.00;59,31746;
198;60.00;59,32091;
199;60.00;59,32432;
200;60.00;59,3277;
201;60.00;59,33105;
202;60.00;59,33436;
203;60.00;59,33764;
204;60.00;59,34089;
205;60.00;59,3441;
206;60.00;59,34729;
207;60.00;59,35044;
208;60.00;59,35357;
209;60.00;59,35666;
210;60.00;59,35972;
211;60.00;59,36276;
212;60.00;59,36576;
213;60.00;59,36874;
214;60.00;59,37169;
215;60.00;59,37461;
216;60.00;59,37751;
217;60.00;59,38038;
218;60.00;59,38322;
219;60.00;59,38604;
220;60.00;59,38883;
221;60.00;59,39159;
222;60.00;59,39433;
223;60.00;59,39705;
224;60.00;59,39974;
225;60.00;59,40241;
226;60.00;59,40505;
