facts 36.00ms 
solver 132.00ms 
facts 2.00ms 
solver 127.00ms 
facts 3.00ms 
solver 109.00ms 
facts 2.00ms 
solver 105.00ms 
facts 2.00ms 
solver 117.00ms 
facts 7.00ms 
solver 108.00ms 
facts 2.00ms 
solver 114.00ms 
facts 2.00ms 
solver 126.00ms 
facts 3.00ms 
solver 108.00ms 
facts 2.00ms 
solver 105.00ms 
facts 2.00ms 
solver 107.00ms 
facts 2.00ms 
solver 113.00ms 
facts 2.00ms 
solver 110.00ms 
facts 2.00ms 
solver 101.00ms 
facts 2.00ms 
solver 102.00ms 
facts 2.00ms 
solver 111.00ms 
facts 2.00ms 
solver 120.00ms 
facts 2.00ms 
solver 107.00ms 
facts 2.00ms 
solver 123.00ms 
facts 2.00ms 
solver 118.00ms 
facts 2.00ms 
solver 135.00ms 
facts 2.00ms 
solver 106.00ms 
facts 2.00ms 
solver 115.00ms 
facts 2.00ms 
solver 110.00ms 
facts 2.00ms 
solver 118.00ms 
facts 1.00ms 
solver 109.00ms 
facts 2.00ms 
solver 114.00ms 
facts 2.00ms 
solver 114.00ms 
facts 2.00ms 
solver 96.00ms 
facts 2.00ms 
solver 108.00ms 
facts 2.00ms 
solver 122.00ms 
facts 2.00ms 
solver 107.00ms 
facts 5.00ms 
solver 112.00ms 
facts 2.00ms 
solver 113.00ms 
facts 1.00ms 
solver 112.00ms 
facts 2.00ms 
solver 102.00ms 
facts 1.00ms 
solver 104.00ms 
facts 2.00ms 
solver 108.00ms 
facts 2.00ms 
solver 112.00ms 
facts 2.00ms 
solver 103.00ms 
facts 2.00ms 
solver 111.00ms 
facts 2.00ms 
solver 89.00ms 
facts 2.00ms 
solver 115.00ms 
facts 1.00ms 
solver 104.00ms 
facts 2.00ms 
solver 99.00ms 
facts 2.00ms 
solver 94.00ms 
facts 2.00ms 
solver 114.00ms 
facts 2.00ms 
solver 105.00ms 
facts 2.00ms 
solver 98.00ms 
facts 2.00ms 
solver 102.00ms 
facts 2.00ms 
solver 123.00ms 
facts 2.00ms 
solver 101.00ms 
facts 2.00ms 
solver 100.00ms 
facts 2.00ms 
solver 101.00ms 
facts 1.00ms 
solver 105.00ms 
facts 2.00ms 
solver 111.00ms 
facts 1.00ms 
solver 102.00ms 
facts 2.00ms 
solver 107.00ms 
facts 2.00ms 
solver 105.00ms 
facts 1.00ms 
solver 110.00ms 
facts 1.00ms 
solver 99.00ms 
facts 2.00ms 
solver 103.00ms 
facts 2.00ms 
solver 106.00ms 
facts 2.00ms 
solver 104.00ms 
facts 1.00ms 
solver 107.00ms 
facts 2.00ms 
solver 103.00ms 
facts 2.00ms 
solver 112.00ms 
facts 1.00ms 
solver 103.00ms 
facts 2.00ms 
solver 101.00ms 
facts 2.00ms 
solver 104.00ms 
