
Iteration; Rate; AvgRate
1;0.30;0,3043995;
2;11.77;6,039491;
3;1.43;4,502841;
4;26.38;9,970914;
5;39.44;15,86497;
6;79.41;26,45557;
7;121.38;40,0166;
8;112.02;49,01699;
9;99.08;54,57961;
10;138.52;62,97321;
11;92.94;65,69772;
12;82.45;67,09395;
13;88.90;68,77109;
14;89.62;70,26042;
15;121.04;73,64566;
16;105.76;75,65257;
17;103.86;77,31205;
18;99.40;78,53919;
19;92.60;79,27939;
20;87.55;79,69278;
21;72.30;79,34071;
22;106.02;80,5536;
23;83.39;80,67693;
24;98.52;81,42033;
25;91.65;81,82947;
26;79.99;81,75871;
27;93.86;82,20676;
28;77.78;82,04877;
29;147.89;84,31929;
30;103.58;84,96137;
31;98.37;85,39388;
32;47.18;84,19976;
33;50.68;83,18405;
34;35.02;81,76735;
35;73.19;81,52232;
36;103.59;82,13527;
37;90.91;82,37247;
38;83.31;82,39702;
39;59.80;81,81769;
40;61.56;81,31129;
41;71.04;81,06084;
42;83.14;81,11026;
43;83.65;81,16929;
44;107.03;81,7571;
45;89.44;81,9279;
46;87.68;82,05299;
47;75.72;81,91833;
48;94.93;82,18946;
49;82.16;82,18876;
50;129.91;83,1431;
51;108.48;83,63992;
52;107.83;84,10515;
53;91.73;84,24901;
54;91.71;84,38716;
55;94.39;84,56899;
56;81.30;84,51064;
57;80.60;84,4421;
58;77.43;84,32125;
59;71.94;84,11134;
60;81.23;84,06339;
61;76.49;83,93931;
62;52.00;83,42418;
63;97.81;83,65257;
64;102.69;83,94996;
65;108.50;84,3276;
66;82.05;84,29308;
67;80.21;84,23213;
68;84.24;84,23223;
69;108.74;84,58737;
70;108.79;84,93316;
71;94.83;85,07261;
72;89.40;85,13272;
73;83.26;85,10706;
74;78.46;85,01723;
75;128.77;85,60058;
76;102.55;85,82363;
77;86.33;85,83015;
78;80.78;85,7654;
79;80.41;85,69757;
80;74.32;85,55537;
81;117.83;85,95382;
82;106.71;86,20689;
83;104.64;86,42896;
84;67.21;86,20021;
85;81.35;86,14311;
86;83.82;86,1161;
87;92.75;86,19235;
88;84.23;86,1701;
89;110.83;86,44717;
90;89.13;86,47702;
91;83.66;86,44602;
92;78.76;86,36248;
93;77.00;86,26179;
94;78.13;86,17525;
95;77.78;86,08687;
96;82.53;86,04981;
97;107.48;86,27074;
98;99.69;86,4077;
99;87.83;86,42209;
100;77.05;86,32838;
101;77.68;86,24276;
102;87.93;86,25927;
103;51.08;85,91777;
104;84.07;85,90002;
105;73.66;85,7834;
106;80.94;85,73775;
107;64.59;85,54006;
108;81.86;85,50599;
109;88.35;85,53204;
110;109.74;85,75211;
111;107.19;85,94524;
112;103.82;86,10484;
113;80.93;86,05901;
114;85.58;86,05479;
115;71.07;85,92452;
116;88.63;85,94785;
117;102.18;86,08661;
118;103.45;86,23376;
119;87.53;86,24468;
120;85.05;86,23473;
121;91.30;86,27657;
122;120.27;86,55522;
123;99.05;86,65684;
124;93.74;86,71398;
125;84.07;86,69284;
126;80.16;86,64097;
127;70.06;86,51044;
128;71.77;86,39526;
129;106.80;86,55342;
130;95.04;86,61868;
131;94.69;86,68028;
132;70.64;86,55878;
133;77.55;86,49107;
134;76.37;86,41553;
135;107.93;86,5749;
136;92.83;86,62087;
137;77.09;86,55129;
138;69.49;86,42765;
139;77.54;86,36373;
140;75.19;86,2839;
141;74.57;86,20082;
142;71.97;86,10061;
143;62.12;85,93291;
144;78.25;85,87959;
145;65.43;85,73857;
146;72.44;85,64751;
147;59.84;85,47197;
148;82.23;85,45004;
149;86.20;85,45509;
150;102.58;85,56928;
151;80.10;85,53309;
152;92.96;85,58195;
153;72.40;85,49582;
154;66.26;85,37088;
155;72.17;85,28573;
156;89.04;85,30979;
157;134.86;85,62537;
158;98.13;85,70454;
159;104.54;85,82298;
160;77.00;85,76781;
161;71.75;85,68076;
162;82.62;85,66187;
163;79.74;85,62557;
164;124.95;85,86535;
165;83.00;85,84799;
166;87.52;85,85808;
167;69.23;85,75853;
168;69.08;85,65925;
169;90.38;85,68716;
170;115.63;85,86331;
171;107.20;85,9881;
172;99.91;86,06904;
173;69.28;85,97198;
174;54.96;85,79376;
175;48.51;85,5807;
176;77.68;85,5358;
177;67.91;85,4362;
178;98.93;85,51202;
179;83.76;85,50222;
180;72.24;85,42854;
181;78.71;85,3914;
182;83.68;85,38201;
183;80.58;85,35575;
184;91.93;85,39149;
185;111.94;85,53502;
186;106.66;85,6486;
187;68.74;85,5582;
188;84.41;85,55208;
189;65.17;85,44422;
190;108.11;85,56352;
191;95.33;85,61465;
192;111.77;85,75085;
193;82.66;85,73483;
194;76.21;85,68574;
195;79.88;85,65594;
196;123.95;85,85134;
197;83.71;85,84048;
198;76.03;85,79092;
