
Iteration; Rate; AvgRate; NumberOfSensors 
1;0.25;0,2484429;1
2;11.64;5,943886;1
4;8.74;5,388021;1
5;36.01;11,51233;1
7;99.45;28,16846;1
8;60.53;32,21362;1
10;86.29;41,11887;1
11;66.09;43,38893;1
13;86.50;49,87685;1
14;68.72;51,22279;1
16;84.01;53,51471;1
17;70.08;54,48909;1
19;71.26;54,07976;1
20;69.50;54,85055;1
22;86.54;57,07371;1
23;67.20;57,51391;1
25;28.38;56,63844;1
26;47.19;56,27485;1
28;73.76;57,59771;1
29;39.83;56,98517;1
31;72.23;57,34241;1
32;64.90;57,57871;1
34;72.39;56,9073;1
35;61.94;57,05096;1
37;78.83;57,50718;1
38;64.01;57,67836;1
40;19.78;56,15338;1
41;52.55;56,06551;1
43;94.01;57,2961;1
44;67.99;57,53913;1
46;82.76;58,15791;1
47;61.33;58,22539;1
49;48.72;57,26862;1
50;67.06;57,4645;1
52;95.36;58,48108;1
53;67.71;58,65514;1
55;104.92;59,77962;1
56;71.39;59,9869;1
58;72.85;59,59419;1
59;72.38;59,81084;1
61;90.03;60,38508;1
62;45.05;60,13766;1
64;92.53;60,59413;1
65;60.38;60,59087;1
67;56.66;59,97469;1
68;65.41;60,05462;1
70;74.54;60,28377;1
71;68.26;60,39608;1
73;90.63;60,84558;1
74;70.08;60,9703;1
76;54.65;60,36646;1
77;59.75;60,35839;1
79;76.04;60,62084;1
80;60.19;60,61544;1
82;82.07;60,90786;1
83;20.02;60,41519;1
85;77.88;60,40773;1
86;63.01;60,438;1
88;94.96;60,85554;1
89;78.53;61,05411;1
91;22.55;60,62301;1
92;73.58;60,76389;1
94;67.96;60,97644;1
95;62.81;60,99577;1
97;79.61;61,02859;1
98;51.70;60,9334;1
100;72.48;60,64078;1
101;85.13;60,88321;1
103;90.06;61,20267;1
104;78.76;61,37144;1
106;80.04;61,5628;1
107;69.04;61,63272;1
109;71.63;61,38068;1
110;59.67;61,36515;1
112;76.61;61,4896;1
113;58.01;61,45882;1
115;84.79;61,72157;1
116;59.47;61,70218;1
118;71.00;61,4776;1
119;73.15;61,57568;1
121;86.31;61,88897;1
122;78.47;62,02488;1
124;114.27;62,49881;1
125;76.90;62,61401;1
127;26.80;62,38601;1
128;52.87;62,31165;1
130;59.11;62,30747;1
131;43.04;62,16037;1
133;59.27;62,0111;1
134;39.69;61,84453;1
136;40.76;61,44246;1
137;38.89;61,27782;1
139;75.19;61,15828;1
140;42.91;61,02793;1
142;83.79;61,14107;1
143;54.71;61,09613;1
145;71.41;61,14374;1
146;51.57;61,07819;1
148;79.15;61,08931;1
149;56.32;61,05732;1
151;93.60;61,30775;1
152;49.73;61,23156;1
154;92.73;61,44648;1
155;75.27;61,53564;1
157;61.25;61,48982;1
158;50.16;61,41811;1
160;51.46;61,23639;1
161;53.21;61,18655;1
163;96.61;61,36976;1
164;73.57;61,44415;1
166;87.95;61,63595;1
167;80.52;61,749;1
169;69.31;61,86476;1
170;60.43;61,85634;1
172;107.58;62,29124;1
173;86.72;62,43246;1
175;133.73;62,95414;1
176;77.65;63,03765;1
178;136.90;63,54;1
179;84.27;63,6558;1
181;105.37;63,98851;1
182;86.19;64,11047;1
184;84.67;64,26793;1
185;117.13;64,55368;1
187;61.70;64,54305;1
188;74.83;64,59779;1
190;97.89;64,75503;1
191;109.36;64,98858;1
193;89.86;65,19572;1
194;108.40;65,41841;1
196;110.50;65,77853;1
197;91.99;65,91159;1
199;72.71;65,97666;1
200;65.18;65,97269;1
202;100.87;66,30702;1
203;124.09;66,59165;1
205;86.54;66,68131;1
206;100.57;66,84582;1
208;85.18;67,00929;1
209;84.47;67,09285;1
211;102.46;67,42219;1
212;75.26;67,45917;1
214;70.99;67,46076;1
215;62.49;67,43764;1
217;84.39;67,53261;1
218;90.76;67,63915;1
220;73.69;67,73443;1
221;63.55;67,71552;1
223;98.04;68,01778;1
224;79.00;68,06681;1
226;75.76;68,04176;1
227;60.89;68,01025;1
229;108.46;68,24141;1
230;85.67;68,31718;1
232;67.02;68,29537;1
233;84.49;68,36487;1
235;116.04;68,61849;1
236;102.45;68,76184;1
238;85.32;68,8049;1
239;85.47;68,87464;1
241;82.73;69,01904;1
242;83.65;69,07951;1
244;95.99;69,31219;1
245;76.61;69,34198;1
