
Iteration; Rate; AvgRate
1;0.25;0,2484429;
2;11.64;5,943886;
3;0.92;4,270627;
4;8.74;5,388021;
5;36.01;11,51233;
6;40.16;16,28753;
7;99.45;28,16846;
8;60.53;32,21362;
9;67.19;36,10017;
10;86.29;41,11887;
11;66.09;43,38893;
12;84.62;46,82499;
13;86.50;49,87685;
14;68.72;51,22279;
15;55.11;51,48177;
16;84.01;53,51471;
17;70.08;54,48909;
18;29.94;53,12524;
19;71.26;54,07976;
20;69.50;54,85055;
21;72.07;55,67035;
22;86.54;57,07371;
23;67.20;57,51391;
24;64.76;57,81568;
25;28.38;56,63844;
26;47.19;56,27485;
27;75.83;56,99895;
28;73.76;57,59771;
29;39.83;56,98517;
30;52.82;56,84627;
31;72.23;57,34241;
32;64.90;57,57871;
33;19.94;56,43818;
34;72.39;56,9073;
35;61.94;57,05096;
36;52.15;56,91493;
37;78.83;57,50718;
38;64.01;57,67836;
39;34.58;57,08614;
40;19.78;56,15338;
41;52.55;56,06551;
42;71.04;56,42199;
43;94.01;57,2961;
44;67.99;57,53913;
45;60.78;57,61114;
46;82.76;58,15791;
47;61.33;58,22539;
48;20.85;57,44682;
49;48.72;57,26862;
50;67.06;57,4645;
51;72.43;57,75792;
52;95.36;58,48108;
53;67.71;58,65514;
54;74.23;58,94361;
55;104.92;59,77962;
56;71.39;59,9869;
57;24.35;59,36165;
58;72.85;59,59419;
59;72.38;59,81084;
60;64.62;59,89095;
61;90.03;60,38508;
62;45.05;60,13766;
63;56.96;60,08724;
64;92.53;60,59413;
65;60.38;60,59087;
66;23.24;60,02493;
67;56.66;59,97469;
68;65.41;60,05462;
69;61.61;60,07722;
70;74.54;60,28377;
71;68.26;60,39608;
72;62.97;60,43188;
73;90.63;60,84558;
74;70.08;60,9703;
75;21.40;60,44275;
76;54.65;60,36646;
77;59.75;60,35839;
78;65.41;60,42312;
79;76.04;60,62084;
80;60.19;60,61544;
81;63.14;60,64663;
82;82.07;60,90786;
83;20.02;60,41519;
84;42.32;60,19974;
85;77.88;60,40773;
86;63.01;60,438;
87;62.66;60,4635;
88;94.96;60,85554;
89;78.53;61,05411;
90;60.33;61,04606;
91;22.55;60,62301;
92;73.58;60,76389;
93;73.55;60,90139;
94;67.96;60,97644;
95;62.81;60,99577;
96;45.57;60,83504;
97;79.61;61,02859;
98;51.70;60,9334;
99;20.13;60,52122;
100;72.48;60,64078;
101;85.13;60,88321;
102;64.61;60,91979;
103;90.06;61,20267;
104;78.76;61,37144;
105;62.99;61,38686;
106;80.04;61,5628;
107;69.04;61,63272;
108;24.16;61,2858;
109;71.63;61,38068;
110;59.67;61,36515;
111;60.05;61,35334;
112;76.61;61,4896;
113;58.01;61,45882;
114;68.34;61,5192;
115;84.79;61,72157;
116;59.47;61,70218;
117;25.90;61,39621;
118;71.00;61,4776;
119;73.15;61,57568;
120;74.75;61,6855;
121;86.31;61,88897;
122;78.47;62,02488;
123;68.55;62,07792;
124;114.27;62,49881;
125;76.90;62,61401;
126;69.47;62,6684;
127;26.80;62,38601;
128;52.87;62,31165;
129;64.98;62,33229;
130;59.11;62,30747;
131;43.04;62,16037;
132;45.19;62,03184;
133;59.27;62,0111;
134;39.69;61,84453;
135;28.25;61,59566;
136;40.76;61,44246;
137;38.89;61,27782;
138;30.75;61,05661;
139;75.19;61,15828;
140;42.91;61,02793;
141;54.33;60,98045;
142;83.79;61,14107;
143;54.71;61,09613;
144;57.69;61,07248;
145;71.41;61,14374;
146;51.57;61,07819;
147;44.65;60,96642;
148;79.15;61,08931;
149;56.32;61,05732;
150;66.33;61,09245;
151;93.60;61,30775;
152;49.73;61,23156;
153;62.83;61,24202;
154;92.73;61,44648;
155;75.27;61,53564;
156;54.63;61,49135;
157;61.25;61,48982;
158;50.16;61,41811;
159;42.30;61,29785;
160;51.46;61,23639;
161;53.21;61,18655;
162;55.63;61,15223;
163;96.61;61,36976;
164;73.57;61,44415;
165;66.77;61,47646;
166;87.95;61,63595;
167;80.52;61,749;
168;73.75;61,82043;
169;69.31;61,86476;
170;60.43;61,85634;
171;90.93;62,02637;
172;107.58;62,29124;
173;86.72;62,43246;
174;82.43;62,54738;
175;133.73;62,95414;
176;77.65;63,03765;
177;78.59;63,12554;
178;136.90;63,54;
179;84.27;63,6558;
180;82.16;63,7586;
181;105.37;63,98851;
182;86.19;64,11047;
183;72.52;64,15644;
184;84.67;64,26793;
185;117.13;64,55368;
186;65.42;64,55836;
187;61.70;64,54305;
188;74.83;64,59779;
189;61.19;64,57973;
190;97.89;64,75503;
191;109.36;64,98858;
192;80.10;65,06728;
193;89.86;65,19572;
194;108.40;65,41841;
195;90.92;65,54916;
196;110.50;65,77853;
197;91.99;65,91159;
198;72.06;65,94265;
199;72.71;65,97666;
200;65.18;65,97269;
201;98.61;66,13506;
202;100.87;66,30702;
203;124.09;66,59165;
204;65.03;66,58398;
205;86.54;66,68131;
206;100.57;66,84582;
207;82.51;66,92149;
208;85.18;67,00929;
209;84.47;67,09285;
210;101.21;67,25532;
211;102.46;67,42219;
212;75.26;67,45917;
213;64.27;67,44419;
214;70.99;67,46076;
215;62.49;67,43764;
216;71.09;67,45454;
217;84.39;67,53261;
218;90.76;67,63915;
219;82.55;67,70724;
220;73.69;67,73443;
221;63.55;67,71552;
222;104.79;67,88253;
223;98.04;68,01778;
224;79.00;68,06681;
225;54.71;68,00744;
226;75.76;68,04176;
227;60.89;68,01025;
228;80.49;68,065;
229;108.46;68,24141;
230;85.67;68,31718;
231;64.56;68,30091;
232;67.02;68,29537;
233;84.49;68,36487;
234;80.29;68,41583;
235;116.04;68,61849;
236;102.45;68,76184;
237;62.45;68,73521;
238;85.32;68,8049;
239;85.47;68,87464;
240;89.82;68,96193;
241;82.73;69,01904;
242;83.65;69,07951;
243;98.95;69,20242;
244;95.99;69,31219;
245;76.61;69,34198;
246;123.61;69,56258;
247;88.08;69,63754;
248;62.71;69,60962;
249;69.74;69,61013;
250;85.59;69,67404;
251;61.59;69,64183;
252;68.79;69,63847;
253;90.05;69,71915;
254;80.97;69,76344;
255;68.27;69,75758;
256;104.59;69,89367;
257;79.31;69,93031;
258;82.06;69,9773;
259;82.62;70,02612;
260;79.52;70,06264;
261;68.91;70,05824;
262;144.92;70,34399;
263;85.48;70,40155;
264;69.69;70,39886;
265;72.52;70,40688;
266;71.88;70,41243;
267;82.21;70,45662;
268;105.64;70,58792;
269;85.82;70,64456;
270;72.57;70,65169;
271;99.96;70,75982;
272;79.37;70,79147;
273;89.87;70,86135;
274;81.16;70,89893;
275;79.30;70,92948;
276;82.63;70,97187;
277;103.31;71,08862;
278;65.22;71,0675;
279;75.05;71,08176;
280;74.38;71,09354;
281;84.44;71,14104;
282;47.17;71,05605;
283;65.60;71,03677;
284;57.93;70,99064;
285;92.63;71,06656;
286;87.74;71,12487;
287;82.93;71,16602;
288;59.78;71,12649;
289;86.50;71,17966;
290;71.68;71,1814;
291;75.43;71,196;
292;90.90;71,26347;
293;94.05;71,34126;
294;78.39;71,36524;
295;90.47;71,43001;
296;98.75;71,52231;
297;84.42;71,56573;
298;63.87;71,53991;
299;94.36;71,61623;
300;69.36;71,6087;
301;85.99;71,65649;
302;75.45;71,66905;
303;91.05;71,73302;
304;92.29;71,80064;
305;84.20;71,84129;
306;97.73;71,9259;
307;114.09;72,06325;
308;88.06;72,11518;
309;75.60;72,12646;
310;119.63;72,27971;
311;63.40;72,25114;
312;67.28;72,2352;
313;113.22;72,36613;
314;77.27;72,38174;
315;60.83;72,34509;
316;96.27;72,42079;
317;64.03;72,39434;
318;64.11;72,36828;
319;66.13;72,34872;
320;68.74;72,33744;
321;71.38;72,33447;
322;94.58;72,40356;
323;82.57;72,43504;
324;83.23;72,46835;
325;83.83;72,50332;
326;64.91;72,48003;
327;74.09;72,48496;
328;73.84;72,4891;
329;97.01;72,56362;
330;69.69;72,55492;
331;81.31;72,58138;
332;84.27;72,61659;
333;90.67;72,67081;
334;83.07;72,70194;
335;76.54;72,71339;
336;77.33;72,72712;
337;90.20;72,77897;
338;86.81;72,82049;
339;72.57;72,81975;
340;70.68;72,81345;
341;68.64;72,80121;
342;89.34;72,84956;
343;106.89;72,94882;
344;53.17;72,89132;
345;21.02;72,74095;
346;57.84;72,69788;
347;78.45;72,71445;
348;78.35;72,73064;
349;74.94;72,73698;
350;74.82;72,74292;
351;82.79;72,77155;
352;119.96;72,90559;
353;91.64;72,95866;
354;75.58;72,96607;
355;36.44;72,86317;
356;102.18;72,94553;
357;94.43;73,00571;
358;88.08;73,04781;
359;69.24;73,03721;
360;81.03;73,05943;
361;98.77;73,13065;
362;81.56;73,15395;
363;72.54;73,15225;
364;82.34;73,17748;
365;92.52;73,23048;
366;94.22;73,28783;
367;88.68;73,32977;
368;62.22;73,29958;
369;86.41;73,3351;
370;88.12;73,37505;
371;72.33;73,37224;
372;95.57;73,4319;
373;93.43;73,48551;
374;85.96;73,51888;
375;66.83;73,50105;
376;80.50;73,51966;
377;90.72;73,56528;
378;71.27;73,5592;
379;137.62;73,72823;
380;70.66;73,72015;
381;72.64;73,71732;
382;76.59;73,72485;
383;85.07;73,75446;
384;83.22;73,7791;
385;73.37;73,77803;
386;92.79;73,82729;
387;67.55;73,81106;
388;89.74;73,8521;
389;120.37;73,97169;
390;75.34;73,9752;
391;83.67;73,99999;
392;68.96;73,98714;
393;60.91;73,95387;
394;102.71;74,02686;
395;97.41;74,08605;
396;70.11;74,07602;
